function,package,family,claimed_by,status,pr
gl.tree.nj,dartR.base,analysis,arthur,done,370
gl.report.callrate,dartR.base,report,arthur,done,247
gl.filter.allna,dartR.base,matched filter,arthur,done,252
gl.filter.monomorphs,dartR.base,matched filter,arthur,done,251
gl.report.allna,dartR.base,matched report,arthur,done,250
gl.report.monomorphs,dartR.base,matched report,arthur,done,249
gl.nhybrids,dartR.popgen,analysis,luis,done,85
gl.drop.pop,dartR.base,data manipulation,arthur,done,237
gl.drop.ind,dartR.base,data manipulation,arthur,done,238
gl.keep.ind,dartR.base,data manipulation,arthur,done,240
gl.keep.pop,dartR.base,data manipulation,arthur,done,239
gl.filter.overshoot,dartR.base,matched filter,arthur,done,262
gl.report.heterozygosity,dartR.base,matched report,arthur,done,291
gl.filter.heterozygosity,dartR.base,matched filter,arthur,done,272
gl.load,dartR.base,io,arthur,done,289
gl.filter.replicates,dartR.base,filter,arthur,done,288
gl.report.replicates,dartR.base,report,arthur,done,287
gl.report.hwe,dartR.base,matched report,arthur,done,271
gl.filter.hwe,dartR.base,matched filter,arthur,done,271
gl.reassign.pop,dartR.base,data manipulation,arthur,done,282
gl.reassign.ind,dartR.base,data manipulation,arthur,done,281
gl.define.pop,dartR.base,data manipulation,arthur,done,279
gl.merge.pop,dartR.base,data manipulation,arthur,done,280
gl.save,dartR.base,io,arthur,done,290
gl.report.allelerich,dartR.base,report,arthur,done,286
gl.join,dartR.base,io,arthur,done,284
gl.sort,dartR.base,data manipulation,arthur,done,283
gl.select.shapes,dartR.base,utility,arthur,done,275
gl.colors,dartR.base,utility,arthur,done,276
gl.select.colors,dartR.base,utility,arthur,done,274
gl.report.basics,dartR.base,report,arthur,done,285
gl.fixed.diff,dartR.base,analysis,arthur,done,278
gl.Ho,dartR.sim,utility,arthur,moved-to-dartR.sim,44
gl.He,dartR.sim,utility,arthur,moved-to-dartR.sim,44
gl.smearplot,dartR.base,graphics,arthur,done,277
gl.make.recode.pop,dartR.base,data manipulation,arthur,done,270
gl.make.recode.ind,dartR.base,data manipulation,arthur,done,269
gl.recode.ind,dartR.base,data manipulation,arthur,done,267
gl.recode.pop,dartR.base,data manipulation,arthur,done,266
gl.report.factorloadings,dartR.base,matched report,arthur,done,265
gl.filter.locmetric,dartR.base,matched filter,arthur,done,264
gl.report.locmetric,dartR.base,matched report,arthur,done,263
gl.report.overshoot,dartR.base,matched report,arthur,done,261
gl.filter.reproducibility,dartR.base,matched filter,arthur,done,260
gl.report.reproducibility,dartR.base,matched report,arthur,done,259
gl.filter.taglength,dartR.base,matched filter,arthur,done,258
gl.report.taglength,dartR.base,matched report,arthur,done,257
